Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Mittelland-Nord
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
1;Bürgerlich-Demokratische Partei;2;1;83'570;11.5%;2
2;Schweizerische Volkspartei Mittelland Nord;6;2;167'176;22.9%;6
3;Sozialdemokratische Partei, JUSO und Gewerkschaften - Frauen;4;4;109'625;15.0%;4
4;Sozialdemokratische Partei, JUSO und Gewerkschaften - Männer;2;0;59'871;8.2%;2
5;Evangelische Volkspartei;1;0;37'957;5.2%;1
6;Evangelische Volkspartei Zukunft;0;0;10'635;1.5%;0
7;Grüne;2;0;72'433;9.9%;2
8;glp OST;1;0;30'634;4.2%;1
9;glp WEST;1;1;29'690;4.1%;1
10;FDP. Die Liberalen;3;1;102'185;14.0%;3
11;Jungfreisinnige Bern Mittelland-Nord;0;0;3'983;0.6%;0
12;Eidgenössisch-Demokratische Union;0;0;10'657;1.5%;0
13;Piraten und Freidenker;0;0;6'120;0.8%;0
14;Schweizer Demokraten;0;0;5'143;0.7%;0
Wahlkreis / Cercle électoral: Mittelland-Nord
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
;Total:;22;9;729'679;100.0%;22
Wahlberechtigte / Nombre d'électeurs;104'801
Eingelangte Wahlzettel / Bulletins rentrés;33'817
Leere Wahlzettel / Blancs;61
Ungültige Wahlzettel / Nuls;136
Gültige Wahlzettel / Bulletins valables;33'620
Wahlbeteiligung / Participation électorale;32.3%

Liste;1;Bürgerlich-Demokratische Partei
Kürzel / Sigle;BDP;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;71334;
Zusatzstimmen / Suffrages complémentaires;12236;
Parteistimmen / Total des suffrages de parti;83570;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Herren-Brauen;Anita;1966;Bäuerin, Pflegefachfrau;Rosshäusern;6'001;x
2;Riem;Bernhard;1957;Agro.Ing.HTL, Landwirt;Iffwil;5'314;x
Stimmen haben erhalten/Ont obtenu des suffrages
3;Schwaar;Daniel;1965;Bereichsleiter Pflege und perioperative Dienste;Wileroltigen;4'478;x
4;Bärtschi Mosimann;Astrid;1973;Generalsekretärin BDP Schweiz;Ostermundigen;3'692;
5;Marti;Hans;1968;Landwirt;Scheunen;3'579;
6;Bürgi-Lüthi;Susanna;1970;Primarlehrerin, Bäuerin;Limpach;3'495;
7;Müller;Karin;1975;Betriebsökonomin FH;Jegenstorf;3'380;
8;Bergmann;René;1965;eidg.dipl. Gärtnermeister, Unternehmer;Bolligen;3'372;
9;Hauser;Adrian;1977;Zimmermann, Vorarbeiter;Worb;3'207;
10;Kipfer;Michael;1985;Landwirt, Zimmermann;Stettlen;3'187;
11;Berger;David;1984;Informatikingenieur (BSc BFH);Ittigen;3'077;
12;Läderach;Christof;1960;Transportunternehmer;Worb;3'042;
13;Mössinger;Thomas Jürg;1963;Spitaldirektor;Hinterkappelen;2'748;
14;Kaufmann;Martin Christian;1956;Unternehmer, Geschäftsführer;Bolligen;2'744;
15;Walther;Erika;1956;Hebamme, Therapeutin;Muri bei Bern;2'658;
16;Piatti;Philippe;1973;lic.phil.hist.;Stettlen;2'625;
17;Rothenbühler;Hans Jörg;1959;IT-Spezialist;Zollikofen;2'603;
18;Spack;Eva Maria;1969;Eventmanagerin;Golaten;2'578;
19;Hämmerli;Erwin;1973;Gipser, Stukateur;Herrenschwanden;2'507;
20;Häusermann;Matthias;1980;Montageleiter;Zollikofen;2'405;
21;Wittmer;Benjamin Adrian;1993;Kaufmann;Bolligen;2'351;
22;Zwyer;Lukas;1996;Kaufm. Angestellter;Worb;2'291;

Liste;2;Schweizerische Volkspartei Mittelland Nord
Kürzel / Sigle;SVP;
Sitze / Sièges;6;
Kandidatenstimmen /Total des suffrages nominatifs;149274;
Zusatzstimmen / Suffrages complémentaires;17902;
Parteistimmen / Total des suffrages de parti;167176;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Guggisberg;Lars;1977;Fürsprecher, Geschäftsführer;Kirchlindach;10'494;x
2;Bichsel;Daniel;1969;Gemeindepräsident;Zollikofen;9'504;x
3;Hebeisen-Christen;Annegret;1966;KMU Geschäftsfrau SIU, Bäuerin;Münchenbuchsee;8'332;x
4;Geissbühler-Strupler;Sabina;1950;eidg.dipl. Sportlehrerin, Politikerin;Herrenschwanden;7'382;x
5;Schilt;Walter;1958;Geschäftsleiter, Gemeindepräsident;Utzigen;7'009;
6;Salzmann;Peter;1964;Selbständiger Landwirt;Mülchi;6'960;
Stimmen haben erhalten/Ont obtenu des suffrages
7;Wenger;Kurt;1953;Leiter Strassenverkehrs- und Schifffahrtsamt Armee, Oberst;Meikirch;6'721;
8;Panayides;Aliki;1964;Geschäftsführerin, Vize-Gemeindepräsidentin;Ostermundigen;6'538;
9;Lüscher;Markus;1967;Landwirt;Schalunen;6'422;
10;Wermuth;Bruno;1961;Biolandwirt, Gemeinderat;Vielbringen b. Worb;6'389;
11;Horst;Markus;1989;Unternehmer;Rosshäusern;6'363;
