Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Oberland
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
15;Beutter-Pfister;Beat;1964;Leiter CVJM Zentrum Hasliberg;Hasliberg Hohfluh;776;
16;Schütz;Lorenz;1969;Sekundarlehrer, Mitglied GGR;Interlaken;773;

Liste;3;Evangelische Volkspartei Plus
Kürzel / Sigle;EVP Plus;
Sitze / Sièges;0;
Kandidatenstimmen /Total des suffrages nominatifs;5524;
Zusatzstimmen / Suffrages complémentaires;297;
Parteistimmen / Total des suffrages de parti;5821;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Stimmen haben erhalten/Ont obtenu des suffrages
1;Winkler;Urs;1956;Fürsprecher, Alt-Gemeindepräsident;Spiez;1'292;
2;Frey;Susanne;1965;Familienfrau, Mitglied GGR;Spiez;546;
3;Kurt;Barbara;1970;Hauswirtschaftliche Betriebsleiterin, Familienfrau;Unterseen;482;
4;Hafner-Gassmann;Lea;1956;ehemalige Leiterin Zentrum Artos Interlaken;Wilderswil;420;
5;Donzé;Guido;1971;Leiter Finanzen, Mitglied Finanzkommission;Spiez;410;
6;Erni;Joel;1988;Sozialarbeiter;Spiez;400;
7;Stettler;Simea;1996;Studentin Soziale Arbeit;Wimmis;380;
8;Leuenberger;Jürg;1966;Dipl. Baumeister, Mitglied GGR;Spiez;292;
9;Bettler;Thomas;1963;Hotelier, Alt-Gemeinderat;Leissigen;289;
10;Schädeli;Pascal;1995;Automatiker;Aeschi;288;
11;Kleist;David;1956;Pastor;Bönigen;260;
12;Zahnd;Markus;1948;Landwirt, Katechet;Boltigen;248;
13;Blatter;Christoph;1991;Landwirt, Hauswart;Matten b. Interlaken;217;

Liste;4;Sozialdemokratische Partei und Gewerkschaften Berner Oberland, Frauen
Kürzel / Sigle;SP Frauen;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;31111;
Zusatzstimmen / Suffrages complémentaires;3822;
Parteistimmen / Total des suffrages de parti;34933;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Zybach;Ursula;1967;Ingenieurin ETH, Grossratspräsidentin;Spiez;6'901;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Von Bergen;Monika;1966;Ingenieurin Agronom ETH;Hasliberg Goldern;2'246;
3;Kempf Schluchter;Annemarie;1954;Institutionsleiterin, pens. Pflegefachfrau HF;Hünibach;2'172;
4;Hurni-Dähler;Beatrix;1969;Physiotherapeutin;Frutigen;2'055;
5;Baumann;Eliane;1969;Lehrerin BBZ IDM Spiez;Spiez;1'950;
6;Roder Beer;Verena;1959;Dipl. Sozialarbeiterin FH;Unterseen;1'805;
7;Grütter Zaugg;Barbara;1962;Lehrerin, Waldspielgruppenleiterin;Wilderswil;1'768;
8;Simmler-Baumann;Dorothea;1967;Pflegefachfrau HF;Interlaken;1'725;
9;Hayoz Wagner;Marianne;1967;Architektin ETH, Katechetin;Spiez;1'700;
10;Stadler-Brawand;Elisabeth;1955;Hochbauzeichnerin, Kauffrau;Matten b. Interlaken;1'626;
11;Hiltbrand;Monika;1961;Primarlehrerin, dipl. Erwachsenenbildnerin HF;Gsteigwiler;1'583;
12;Vanetti Abegglen;Frédérique;1960;Privatlehrerin;Brienz;1'467;
13;Kurzen;Julia;1996;Fachfrau Information und Dokumentation in Ausbildung;Diemtigen;1'438;
14;Santos Botelho Gomes;Tânia;1997;Studentin;Matten b. Interlaken;1'407;
15;Wagner;Seraina;1998;Studentin;Spiez;1'268;

Liste;5;Sozialdemokratische Partei und Gewerkschaften Berner Oberland, Männer
Kürzel / Sigle;SP Männer;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;22846;
Zusatzstimmen / Suffrages complémentaires;3067;
Parteistimmen / Total des suffrages de parti;25913;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Graf;Urs;1957;Jurist, Gemeindepräsident;Interlaken;6'094;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Studer;Daniel;1979;Projektleiter Raumplanung, Geograph MSc;Meiringen;1'567;
3;Grunder;Oliver;1991;Radio-Redaktor, Lehrer;Unterseen;1'493;
4;Berthoud;Roger;1968;Leitender MTRA FH;Unterseen;1'421;
5;Boss;Kaspar;1979;Fotograf, Erwachsenenbildner;Interlaken;1'413;
6;Meier;Thomas;1956;Primarlehrer, Kunstvermittler;Matten b. Interlaken;1'308;
7;Künzi;Michael;1976;Dipl. Tourismusfachmann HF;Erlenbach i. Simmental;1'207;
8;Bernet;Ruedi;1952;Musiker, Musiklehrer;Hondrich;1'114;
9;Fiechter;Peter;1948;pens. Schulleiter Gesundheitswesen;Därligen;1'111;
10;Hefti;Martin;1971;Eidg. dipl. Audio-Videoelektroniker;Schönried;1'104;
11;Rougy;Dimitri-Philippe;1997;Student, Campaigner;Interlaken;1'096;
12;Bodmer;Kurt;1954;pens. Lokführer BLS;Spiez;1'067;
13;Müller-Aebi;Roland;1952;Gymnasiallehrer Geschichte;Spiez;1'062;
14;Kunz;Gerhard;1964;Sozialpädagoge HFS, Wohngruppenleiter;Reichenbach;976;
15;Walther;Jürg;1978;Chef de Réception;Spiez;813;

Liste;6;Schweizerische Volkspartei Interlaken-Oberhasli
Kürzel / Sigle;SVP Interlaken-Oberhasli;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;36151;
Zusatzstimmen / Suffrages complémentaires;13704;
Parteistimmen / Total des suffrages de parti;49855;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Michel;Andreas;1957;Unternehmer, Gemeindepräsident;Schattenhalb;3'902;
2;Abplanalp;Ueli;1971;Meisterlandwirt;Brienzwiler;3'390;
Stimmen haben erhalten/Ont obtenu des suffrages
3;Tschiemer;Heinz;1983;Agrokaufmann HF, Alphornmacher;Habkern;3'359;
4;Dummermuth;Thomas;1979;Privatkundenberater, Vize-Gemeindepräsident;Meiringen;2'998;
5;Ritschard;Jürgen;1955;lic.rer.pol., Geschäftsführer;Unterseen;2'902;
6;Huber;Susanne;1968;Geschäftsführerin, Eidg. dipl. Bankfachfrau;Spiez;2'901;
7;Baumann;Hans Peter;1953;Dipl. Ing. Agr. ETH, VR-Präsident Eigermilch AG Grindelwald;Grindelwald;2'760;
8;Nyffeler-Lanker;Manuela;1986;Dipl. Wirtschaftsfachfrau VSK, Gemeinderätin GGR;Interlaken;2'746;
9;Thöni;Albrecht;1958;Eidg. dipl. Elektroinstallateur;Brienz;2'701;
10;Christ;Franz;1965;Unternehmer, Gemeinderat;Interlaken;2'666;
11;Trachsel;Bruno;1950;Fluglehrer-Drohnen Luftwaffe, Gemeindepräsident;Leissigen;2'070;
12;Bossard Gartenmann;Annemarie;1958;Berufsschullehrerin;Matten b. Interlaken;1'973;
