Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Biel-Bienne - Seeland
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
1;Bürgerlich-Demokratische Partei;3;0;84'292;10.6%;3
2;Junge Bürgerlich-Demokratische Partei;0;0;8'712;1.1%;0
3;Evangelische Volkspartei;1;1;36'415;4.6%;1
4;junge evangelische volkspartei;0;0;6'040;0.8%;0
5;Eidgenössisch-Demokratische Union;0;0;13'648;1.7%;0
6;Schweizerische Volkspartei SVP Liste Seeland;5;1;141'394;17.8%;5
7;Schweizerische Volkspartei SVP Liste Biel/Bienne;2;1;55'210;7.0%;2
8;Sozialdemokratische Partei und Gewerkschaften Frauen;3;3;90'915;11.5%;3
9;Sozialdemokratische Partei und Gewerkschaften Männer;2;0;52'702;6.6%;2
10;Parti socialiste romand et syndicats;2;1;28'777;3.6%;2
11;JUSO JS Bielingue;0;0;12'309;1.6%;0
12;loswahl.ch / tirageausort.ch;0;0;2'253;0.3%;0
13;Freie Liste Biel-Seeland;0;0;5'328;0.7%;0
14;Parti Radical Romand;1;0;22'901;2.9%;1
15;FDP. Die Liberalen Biel/Bienne +;2;1;46'567;5.9%;2
16;FDP. Die Liberalen Seeland;1;0;39'476;5.0%;1
17;Jungfreisinnige;0;0;3'119;0.4%;0
18;Grünliberale / Vert'libéraux Biel/Bienne;1;0;17'814;2.2%;1
19;Grünliberale / Vert'libéraux Seeland;1;1;21'666;2.7%;1
20;Junge Grünliberale;0;0;5'912;0.7%;0
21;Christlichdemokratische Volkspartei CVP Biel-Seeland;0;0;4'981;0.6%;0
22;Partei der Arbeit / Parti ouvrier et populaire;0;0;10'252;1.3%;0
23;Grüne Seeland / Les Verts Seeland;1;0;41'770;5.3%;1
24;Grüne Biel, Junge Grüne und Gewerkschaften / Les Verts Bienne, les Jeunes Verts et syndicats;1;0;32'567;4.1%;1
25;Schweizer Demokraten;0;0;4'192;0.5%;0
26;Piraten + Freidenker;0;0;4'361;0.6%;0
Wahlkreis / Cercle électoral: Biel-Bienne - Seeland
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
;Total:;26;9;793'573;100.0%;26
Wahlberechtigte / Nombre d'électeurs;116'561
Eingelangte Wahlzettel / Bulletins rentrés;31'289
Leere Wahlzettel / Blancs;42
Ungültige Wahlzettel / Nuls;188
Gültige Wahlzettel / Bulletins valables;31'059
Wahlbeteiligung / Participation électorale;26.8%

Liste;1;Bürgerlich-Demokratische Partei
Kürzel / Sigle;BDP / PBD;
Sitze / Sièges;3;
Kandidatenstimmen /Total des suffrages nominatifs;66032;
Zusatzstimmen / Suffrages complémentaires;18260;
Parteistimmen / Total des suffrages de parti;84292;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Gnägi;Jan;1991;Kaufmann, Grossrat;Jens;5'973;x
2;Etter;Jakob;1954;Gemüsebautechniker, Grossrat;Treiten;5'637;x
3;Gerber;Peter;1965;Direktor Wohn- und Pflegeheim, Gemeindepräsident;Schüpfen;3'351;
Stimmen haben erhalten/Ont obtenu des suffrages
4;Bühler;Christine;1959;Bäuerin, Präsidentin SBLV;Tavannes;3'135;
5;Spring;Ulrich;1965;Dipl. Landwirt, Gemeindeparlament;Lyss;2'954;
6;Marti;Rolf;1978;Lehrer, Präsident BDP Aarberg und Umgebung;Kappelen;2'873;
7;Marti;Niklaus;1957;Poststellenleiter, Gemeindepräsident;Grossaffoltern;2'659;
8;Guggisberg;Kurt;1968;Metzger, Gemeinderat;Grossaffoltern;2'417;
9;Bourquin;Manuel;1976;Winzer, Gemeinderat;Ligerz;2'406;
10;Tschanz-Simon;Stéphanie;1988;Betriebsassistentin, dipl. Betriebswirtschafterin HF;Lyss;2'396;
11;Marti;Doris;1969;Gärtnerin, Floristin;Lyss;2'341;
12;Kaiser;Markus;1972;Landwirt;Leuzigen;2'295;
13;Münger;Tamara;1992;Treuhänderin in Ausbildung, Stadträtin;Nidau;2'268;
14;Christen;Rolf;1956;Selbständiger Berater, Gemeinderat;Busswil;2'268;
15;Gugger;Reto;1973;Eidg. dipl. Bankfachmann, Stadtrat;Biel;2'211;
16;Gugger-Mielau;Sandra;1973;Kaufmännische Angestellte;Biel;2'134;
17;Flückiger;Bruno;1966;Betriebstechniker TS-NDU;Ligerz;2'102;
18;Hämmerle;Markus;1955;Rechtsanwalt, Präsident BDP Grossaffoltern;Grossaffoltern;2'090;
19;Alioth;Stephan;1972;Geschäftsführer Ambulanz Region Biel, Gemeindepräsident;Hermrigen;2'077;
20;Hämmerli;Monika;1966;Teamleaderin Post CH AG;Büren an der Aare;2'020;
21;Sahli;Rolf;1961;M Sc BA, Ing. FH Landwirtschaft;Rüti b. Büren;1'950;
22;Eberhard;Pascal;1982;Director Marketing International, Gemeinderat;Jens;1'839;
23;Müller;Christoph;1958;Geschäftsführer Hotel;Aarberg;1'717;
24;Horisberger;Patrick;1961;Informatiker;Ipsach;1'705;
25;Cudré;Yannick;1985;Geschäftsführer Detailhandel;Biel;1'645;
26;Prétôt;Roland;1969;Maurer;Biel;1'569;

Liste;2;Junge Bürgerlich-Demokratische Partei
Kürzel / Sigle;JBDP / JPBD;
Sitze / Sièges;0;
Kandidatenstimmen /Total des suffrages nominatifs;7346;
Zusatzstimmen / Suffrages complémentaires;1366;
Parteistimmen / Total des suffrages de parti;8712;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Stimmen haben erhalten/Ont obtenu des suffrages
