Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Jura bernois
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
1;Union démocratique du centre;4;1;37'660;29.1%;4
2;PLR. Les Libéraux-Radicaux;2;1;18'301;14.2%;2
3;Parti évangélique;1;0;4'950;3.8%;1
4;Jeune Parti évangélique;0;0;767;0.6%;0
5;Parti Socialiste, Femmes engagées;1;1;10'942;8.5%;1
6;Parti Socialiste;1;0;14'513;11.2%;1
7;Union Démocratique Fédérale;0;0;4'280;3.3%;0
8;Parti socialiste autonome et sympathisants;2;1;18'013;13.9%;2
9;LES VERTS;1;1;10'736;8.3%;1
10;Parti démocrate-chrétien - Mouvement Libéral Jurassien, et leurs sympathisants;0;0;8'197;6.3%;0
11;Vert'libéraux;0;0;962;0.7%;0
Wahlkreis / Cercle électoral: Jura bernois
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
;Total:;12;5;129'321;100.0%;12
Wahlberechtigte / Nombre d'électeurs;36'553
Eingelangte Wahlzettel / Bulletins rentrés;11'054
Leere Wahlzettel / Blancs;26
Ungültige Wahlzettel / Nuls;26
Gültige Wahlzettel / Bulletins valables;11'002
Wahlbeteiligung / Participation électorale;30.2%

Liste;1;Union démocratique du centre
Kürzel / Sigle;UDC;
Sitze / Sièges;4;
Kandidatenstimmen /Total des suffrages nominatifs;33712;
Zusatzstimmen / Suffrages complémentaires;3948;
Parteistimmen / Total des suffrages de parti;37660;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Graber;Anne-Caroline;1976;Dr ès sciences politiques, députée;La Neuveville;5'165;x
2;Tobler;Marc;1960;Agriculteur;Moutier;3'873;x
3;Klopfenstein;Etienne;1955;Maître-agriculteur;Corgémont;3'799;x
4;Benoit;Roland;1948;Ing. Agronome HAFL;Corgémont;3'268;x
Stimmen haben erhalten/Ont obtenu des suffrages
5;Mercerat;André;1954;Technico-commercial;Champoz;2'895;
6;Ochsenbein;Maxime;1991;Educateur;Bévilard;2'855;
7;Scheidegger;Beat;1959;Agriculteur;Les Reussilles;2'163;
8;Tschan;Michel;1979;Planificateur financier;Corgémont;2'155;
9;Siegenthaler;Jean;1963;Agriculteur;Mont-Soleil;2'086;
10;Schluep;Tina;1992;Enseignante e.f.;Moutier;2'046;
11;Voiblet;Marc;1967;Maçon;Reconvilier;1'872;
12;Vuilleumier Rotzer;Naïké;1991;Opératrice en horlogerie;Tramelan;1'535;

Liste;2;PLR. Les Libéraux-Radicaux
Kürzel / Sigle;PLR;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;15523;
Zusatzstimmen / Suffrages complémentaires;2778;
Parteistimmen / Total des suffrages de parti;18301;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Heyer;Virginie;1986;Economiste, Maire;Perrefitte;3'532;
2;Niederhauser;Jean-Luc;1961;Resp. fabrication, Maire;Court;1'544;
Stimmen haben erhalten/Ont obtenu des suffrages
3;Röthlisberger;Patrick;1960;Industriel, Conseiller de ville;Moutier;1'474;
4;Léchot;Marc-André;1974;Conseiller financier, Maire;Orvin;1'318;
5;Rubin;Nicolas;1990;Enseignant;Tavannes;1'177;
6;Lötscher;Pierre;1988;Analyste financier;Court;1'103;
7;Gerber;Denis;1949;Ancien directeur ES, Conseiller de ville;St-Imier;1'080;
8;Morand;Steve;1981;Menuisier-charpentier, Conseiller communal;Bévilard;951;
9;Grossenbacher;Stéphane;1963;Ingénieur ETS, Conseiller municipal;Reconvilier;874;
10;Léchot;René;1962;Ingénieur HES, Conseiller municipal;Orvin;854;
11;Gauchat;François;1943;Ingénieur forestier EPFZ/SIA, Conseiller communal;Prêles;842;
12;Fertig;Mina;1954;Employée de commerce, Ancien maire;Péry;774;

Liste;3;Parti évangélique
Kürzel / Sigle;PEV;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;4565;
Zusatzstimmen / Suffrages complémentaires;385;
Parteistimmen / Total des suffrages de parti;4950;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Gerber;Tom;1976;Maître-agriculteur, député au Grand Conseil;Reconvilier;1'081;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Knuchel;Jean-Marc;1958;Infirmier en psychiatrie, membre du Conseil du Jura bernois;Tavannes;497;
3;Oppliger;Valérie;1989;Assistante sociale, coordinatrice romande *jpev;Tramelan;488;
4;Konrad;Silvain;1978;Enseignant en soins infirmiers;Tavannes;334;
5;Sollberger;Lévi;1998;Étudiant;Nods;317;
6;Geiser;Rahel;1974;Mère au foyer, aide familiale;Tavannes;291;
7;Spychiger;Igor;1972;Infirmier en psychiatrie, président des assemblées Plateau de Diesse;Prêles;285;
8;Eisinger;Julian;1996;Étudiant en musique, HEM jazz;La Ferrière;278;
9;Bühler;Olivier;1979;Animateur socio-culturel, membre du comité AJR;Mont-Tramelan;271;
