Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Mittelland-Süd
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
6;Riese;Vita;1999;Gymnasiastin;Mittelhäusern;886;
7;Schär;Mira;1998;Maturandin;Wabern;854;
8;König;Shivani;1999;Gymnasiastin;Zollikofen;828;
9;Faccio;Mayra Kyra;1997;Schülerin Fachmatur Pädagogik;Köniz;826;
10;Riveros;Sarah;1997;Maturandin;Liebefeld;812;

Liste;4;Eidgenössisch-Demokratische Union
Kürzel / Sigle;EDU;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;22935;
Zusatzstimmen / Suffrages complémentaires;1571;
Parteistimmen / Total des suffrages de parti;24506;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Baumann;Katharina;1970;Unternehmerin, Grossrätin;Münsingen;3'025;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Stucki;Martin;1968;Landwirt;Guggisberg;1'250;
3;Brönnimann;Michael;1983;Kaufmann, dipl. Reifenfachmann;Belp;1'182;
4;Feuz;Thomas;1964;Sekretär, Redaktor;Jaberg;1'160;
5;Neuenschwander;Madeleine;1972;Hausfrau;Zimmerwald;1'147;
6;Joss;Christine;1965;Hauspflegerin, ehem. Mitglied GGR;Münsingen;1'098;
7;Baumann;Tobias;1992;Betriebsökonom, Elektroinstallateur;Münsingen;1'070;
8;Oester;Silvan;1997;Sanitär-Installateur;Belp;1'069;
9;Mosimann;Daniel;1973;Naturgärtner;Biglen;1'044;
10;Joss;Ronja;1993;Fachfrau Betreuung Kind;Oppligen;1'043;
11;Wasem;Joel;1964;Verkaufsberater im Aussendienst;Konolfingen;1'041;
12;Baumann;Heidi;1961;dipl. Pflegefachfrau, Bereichsleiterin;Heimberg;1'033;
