Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Emmental
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
1;Schweizerische Volkspartei Unteres Emmental;3;1;54'723;16.9%;3
2;Schweizerische Volkspartei Oberes Emmental;3;0;60'176;18.6%;3
3;Evangelische Volkspartei;1;0;12'506;3.9%;1
4;Evangelische Volkspartei Plus;0;0;7'525;2.3%;0
5;Sozialdemokratische Partei - JUSO - Gewerkschaften Unteres Emmental;2;1;35'632;11.0%;2
6;Sozialdemokratische Partei - JUSO - Gewerkschaften Oberes Emmental;0;0;15'907;4.9%;0
7;Eidgenössisch-Demokratische Union;1;0;17'896;5.5%;1
8;Bürgerlich-Demokratische Partei Emmental Süd;1;0;23'566;7.3%;1
9;Bürgerlich-Demokratische Partei Emmental Nord;1;0;21'255;6.6%;1
10;FDP.Die Liberalen Unteres Emmental;1;0;15'394;4.8%;1
11;FDP.Die Liberalen Oberes Emmental;0;0;8'764;2.7%;0
12;Jungfreisinnige;0;0;1'846;0.6%;0
13;grünliberale Partei Emmental;1;0;19'016;5.9%;1
14;Die Musketiere;0;0;4'174;1.3%;0
15;Grüne Emmental;1;0;18'649;5.8%;1
16;Junge Grüne Emmental;0;0;7'262;2.2%;0
Wahlkreis / Cercle électoral: Emmental
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
;Total:;15;2;324'291;100.0%;15
Wahlberechtigte / Nombre d'électeurs;75'448
Eingelangte Wahlzettel / Bulletins rentrés;21'998
Leere Wahlzettel / Blancs;20
Ungültige Wahlzettel / Nuls;109
Gültige Wahlzettel / Bulletins valables;21'869
Wahlbeteiligung / Participation électorale;29.2%

Liste;1;Schweizerische Volkspartei Unteres Emmental
Kürzel / Sigle;SVP Unteres Emmental;
Sitze / Sièges;3;
Kandidatenstimmen /Total des suffrages nominatifs;49404;
Zusatzstimmen / Suffrages complémentaires;5319;
Parteistimmen / Total des suffrages de parti;54723;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Gschwend-Pieren;Andrea;1978;Betriebswirtschafterin lic. oec. HSG, Unternehmerin;Oberburg;5'595;x
2;Aebi;Markus;1958;eidg. dipl. Landwirt;Hellsau;4'647;x
3;Buri;Urs;1960;Landwirt;Hasle b. B.;4'071;
Stimmen haben erhalten/Ont obtenu des suffrages
4;Sutter;Hanspeter;1965;Bauunternehmer;Alchenstorf;3'361;
5;Rüfenacht;Fritz;1965;Gemeindepräsident, Selbständiger Unternehmer;Rüegsauschachen;3'255;
6;Horisberger;Fabian;1977;Gemeinderatspräsident, Finanzplaner mit eidg. FA;Wynigen;3'251;
7;Singer;Michelle;1994;Floristin, Drucktechnologin i. A.;Utzenstorf;3'151;
8;Zemp;Adrian;1969;Unternehmer, Gemeinderatspräsident;Kernenried;3'025;
9;Schürch;Beat;1972;Meisterlandwirt;Kirchberg;2'939;
10;Rosser;Bruno;1959;Sachbearbeiter Ordnungs- und Sicherheitsdirektion;Burgdorf;2'921;
11;Nyffenegger;Thomas;1970;IT-Unternehmer, Gemeinderat;Bätterkinden;2'907;
12;Anliker;Patrik;1967;Berufsoffizier, Oberst i Gst;Ersigen;2'698;
13;Niffenegger;Simon;1980;IT-Unternehmer, Wirtschaftsinformatiker;Burgdorf;2'651;
14;Iseli;Nathalie;1986;Dentalassistentin;Aefligen;2'491;
15;Hirschi;Michael;1982;Jurist, Krankenversicherungsfachmann eidg. FA;Burgdorf;2'441;

Liste;2;Schweizerische Volkspartei Oberes Emmental
Kürzel / Sigle;SVP Oberes Emmental;
Sitze / Sièges;3;
Kandidatenstimmen /Total des suffrages nominatifs;53201;
Zusatzstimmen / Suffrages complémentaires;6975;
Parteistimmen / Total des suffrages de parti;60176;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Sutter;Walter;1961;eidg. dipl. Landwirt;Langnau i. E.;5'865;x
2;Bärtschi;Alfred;1965;eidg. dipl. Landwirt;Lützelflüh-Goldbach;5'195;x
3;Gfeller;Ueli;1962;Landwirt;Schangnau;4'972;
Stimmen haben erhalten/Ont obtenu des suffrages
4;Ryser;Roland;1967;Landwirt;Affoltern i. E.;3'753;
5;Kämpfer;Heinz;1963;eidg. dipl. Landwirt, a. Gemeinderat;Affoltern i. E.;3'361;
6;Rothenbühler;Roland;1971;Meisterlandwirt;Schwanden;3'309;
7;Gerber;Beat;1967;eidg. dipl. Landwirt;Bärau;3'289;
8;Aeschlimann;Peter;1964;Gemeindepräsident, Unternehmer;Trub;3'219;
9;Beer;Susanne;1965;dipl. Finanzverwalterin;Rüderswil;3'119;
10;Hutmacher;Walter;1970;Abteilungsleiter Holzbau, eidg. dipl. Landwirt;Lauperswil;3'080;
11;Gerber;Jürg;1959;eidg. dipl. Landwirt;Gohl;3'025;
12;Lehmann;Fritz;1956;Meisterlandwirt, Gemeinderat;Grünen;2'935;
13;Sempach;Martin;1965;Käsermeister;Lützelflüh-Goldbach;2'912;
14;Salzmann;Elisabeth;1971;Medizinische Praxisassistentin, Gemeinderätin;Signau;2'690;
