Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Thun
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
1;Sozialdemokratische Partei und Gewerkschaften Frauen;2;2;44'620;11.4%;2
2;Sozialdemokratische Partei und Gewerkschaften Männer;2;0;30'001;7.6%;2
3;Schweizerische Volkspartei Thun Land;3;1;79'002;20.1%;3
4;Schweizerische Volkspartei Thun Stadt und Seegemeinden;2;0;48'211;12.3%;2
5;Evangelische Volkspartei - Engagement;2;1;27'408;7.0%;2
6;Evangelische Volkspartei - Vision;0;0;4'265;1.1%;0
7;Evangelische Volkspartei - Profil;0;0;4'614;1.2%;0
8;Eidgenössisch-Demokratische Union;1;0;22'148;5.6%;1
9;Freisinnig-Demokratische Partei;2;0;31'876;8.1%;2
10;Jungfreisinnige Berner Oberland;0;0;1'562;0.4%;0
11;Bürgerlich-Demokratische Partei;1;0;31'159;7.9%;1
12;Grünliberale Partei;1;0;19'434;5.0%;1
13;Junge Grünliberale Partei;0;0;4'293;1.1%;0
14;Grüne;1;1;32'303;8.2%;1
15;Junge Grüne;0;0;5'277;1.3%;0
16;Junge Linke Liste;0;0;3'794;1.0%;0
17;Christlichdemokratische Volkspartei;0;0;3'024;0.8%;0
Wahlkreis / Cercle électoral: Thun
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
;Total:;17;5;392'991;100.0%;17
Wahlberechtigte / Nombre d'électeurs;82'217
Eingelangte Wahlzettel / Bulletins rentrés;23'555
Leere Wahlzettel / Blancs;48
Ungültige Wahlzettel / Nuls;62
Gültige Wahlzettel / Bulletins valables;23'445
Wahlbeteiligung / Participation électorale;28.6%

Liste;1;Sozialdemokratische Partei und Gewerkschaften Frauen
Kürzel / Sigle;SP Frauen;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;41193;
Zusatzstimmen / Suffrages complémentaires;3427;
Parteistimmen / Total des suffrages de parti;44620;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Fuhrer-Wyss;Regina;1959;Biobäuerin, Gemeinderätin;Burgistein;4'899;x
2;Dumermuth;Marianne;1955;Biologin, Gemeinderätin;Thun;4'040;x
Stimmen haben erhalten/Ont obtenu des suffrages
3;Ali-Oesch;Katharina;1970;Lehrerin;Thun;3'025;
4;Kropf;Alice;1973;Pflegefachfrau HF Psychiatrie;Thun;2'710;
5;Jaccard;Christina;1963;Lehrerin;Thun;2'471;
6;Gilomen;Brigitte;1968;Sachbearbeiterin Rechnungswesen;Uetendorf;2'217;
7;Erni Hänni;Andrea;1967;dipl. Sozialarbeiterin HF;Heimberg;2'182;
8;Maurer Stalder;Petra;1971;Betriebswirtschafterin HF;Oberhofen;2'138;
9;Christen Townsend;Yvonne;1979;Fachmitarbeiterin Arbeitslosenkasse;Hünibach;2'087;
10;Clare;Christine;1966;Landwirtin;Horrenbach;2'043;
11;Siegenthaler;Nina;1979;Sachbearbeiterin Bildungs- und Sozialbereich;Thun;2'013;
12;Kriesi;Fabienne;1991;Studentin Geschichte;Wattenwil;1'990;
13;Bühler;Sonja;1961;Heimleiterin;Hilterfingen;1'973;
14;Loosli;Beatrice;1966;dipl. Pflegefachfrau;Thun;1'935;
15;Basler-Reymond;Claudine Madeleine;1959;Pflegefachfrau HF;Steffisburg;1'893;
16;Rychen;Dominique Simone;1961;Sozialwissenschaftlerin;Thun;1'881;
17;Messerli;Debora;1997;Studentin Kindererziehung HF;Steffisburg;1'696;

Liste;2;Sozialdemokratische Partei und Gewerkschaften Männer
Kürzel / Sigle;SP Männer;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;27208;
Zusatzstimmen / Suffrages complémentaires;2793;
Parteistimmen / Total des suffrages de parti;30001;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Siegenthaler;Peter;1962;Gemeinderat, Kaufmann;Thun;3'657;x
2;Egger;Ueli;1958;Sekundarlehrer;Hünibach;3'634;x
Stimmen haben erhalten/Ont obtenu des suffrages
3;Schenk-Ghisoni;Marcel;1960;Geschäftsleiter Pro Senectute Kt. Bern;Steffisburg;1'836;
4;Schenk;Christoph;1978;Schulleiter, Primarlehrer;Thun;1'654;
5;Allemann;Martin;1960;Gewerkschaftssekretär SEV;Thun;1'564;
6;Heunert;Sven;1977;dipl. Bauingenieur ETH;Thierachern;1'544;
7;Christen;Adrian;1973;dipl. Architekt FH;Thun;1'498;
8;Schori;Franz;1968;Gewerkschaftssekretär Syndicom;Thun;1'466;
9;Ackermann;Urs;1959;Leiter Gebiet PostNetz;Heimberg;1'295;
10;Cebulla;Ludwig;1953;Arzt;Zwieselberg;1'253;
11;Haldimann;Beat;1968;Postangestellter;Thun;1'184;
12;Messerli;Beat;1963;Bauingenieur;Steffisburg;1'152;
13;Marti;Marc;1967;Realisator TV;Gunten;1'149;
14;Altwegg;Ernst;1964;Informatiker;Uetendorf;1'122;
15;Rothacher;Mario;1970;eidg. dipl. Wirtschaftsinformatiker;Thierachern;1'099;
