Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Bern
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
1;Evangelische Volkspartei;1;1;19'898;3.2%;1
2;FDP. Die Liberalen;2;0;57'969;9.4%;2
3;Jungfreisinnige Stadt Bern;0;0;3'731;0.6%;0
4;Alternative Linke Bern;1;1;21'831;3.5%;1
5;Sozialdemokratische Partei, JUSO und Gewerkschaften - Frauen;5;5;136'054;22.1%;5
6;Sozialdemokratische Partei und Gewerkschaften - Männer;2;0;57'507;9.3%;2
7;JUSO - Junge Arbeitende und Studierende;0;0;11'940;1.9%;0
8;digital-liberal.ch;0;0;3'218;0.5%;0
9;Junge Grünliberale Stadt Bern;0;0;10'581;1.7%;0
10;Grünliberale Stadt Bern;2;1;52'964;8.6%;2
11;Schweizerische Volkspartei;2;0;57'273;9.3%;2
12;Bürgerlich-Demokratische Partei;1;1;24'517;4.0%;1
13;Grüne (GB und GFL);4;3;99'423;16.1%;4
14;Junge Grüne Bern;0;0;15'939;2.6%;0
15;Eidgenössisch-Demokratische Union;0;0;4'388;0.7%;0
16;Partei der Arbeit Bern;0;0;8'695;1.4%;0
17;Christlichdemokratische Volkspartei;0;0;12'267;2.0%;0
18;Grün alternative Partei;0;0;12'752;2.1%;0
19;Swiss Rebel Force;0;0;3'831;0.6%;0
20;Die liebe, sehr sehr liebe Partei;0;0;1'331;0.2%;0
Wahlkreis / Cercle électoral: Bern
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
No liste;Sigle;Sièges;Femmes;Suffrages de parti;Pourcentage;Personnes élues
;Total:;20;12;616'109;100.0%;20
Wahlberechtigte / Nombre d'électeurs;88'218
Eingelangte Wahlzettel / Bulletins rentrés;31'371
Leere Wahlzettel / Blancs;37
Ungültige Wahlzettel / Nuls;317
Gültige Wahlzettel / Bulletins valables;31'017
Wahlbeteiligung / Participation électorale;35.6%

Liste;1;Evangelische Volkspartei
Kürzel / Sigle;EVP;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;18813;
Zusatzstimmen / Suffrages complémentaires;1085;
Parteistimmen / Total des suffrages de parti;19898;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Streit-Stettler;Barbara;1962;Kommunikationsfachfrau;Bern;1'505;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Stürmer;Matthias;1980;Dozent Universität Bern, Stadtrat;Bern;1'309;
3;Jans-Troxler;Bettina;1980;Jugendarbeiterin, Stadträtin;Bern;1'102;
4;Währy;Dominik;1983;Generalsekretär EVP Schweiz;Bern;998;
5;Klopfstein;Ursula;1964;Dr.med., Dozentin BFH Gesundheit;Bern;985;
6;Bühlmann;Matthias;1985;Theologe, kirchlicher Mitarbeiter;Bern;955;
7;Kessler-Christinger;Maya;1962;Sigristin;Bern;902;
8;Kaltenrieder;Hans;1966;dipl. Architekt ETH/SIA;Bern;894;
9;Birkenberg-Zwygart;Tabea;1967;Familienfrau, Sozialpädagogin;Bern;870;
10;Janner;Simone;1981;Zahnarzt;Spiegel b. Bern;864;
11;Gyger;Simon;1976;Innenarchitekt;Bern;858;
12;Streit;Therese;1962;dipl. Sozialarbeiterin HFS, dipl. Individualpsychologische Beraterin;Bern;858;
13;Christen;Bernhard;1965;Arbeitsagoge;Bern;857;
14;Suter;Anja;1989;Studentin, Gemeindemitarbeiterin EGW Münchenbuchsee;Bern;857;
15;Blatter;David;1987;Softwareentwickler;Bern;855;
16;Wellauer;Lukas;1987;Student Soziale Arbeit, Regionalleiter Studium bei den VBG;Bern;842;
17;Reichenbach;Anita;1985;Leiterin Kinderparadies Shoppyland;Bern;840;
18;Zbinden;Lukas;1980;Ingenieur Informatik FH, MSc.cand.;Bern;828;
19;Steinmann;Marco;1994;Koch;Bern;820;
20;Gafner;Leandra Sophia;1994;Studentin Rechtswissenschaften;Bern;814;

Liste;2;FDP. Die Liberalen
Kürzel / Sigle;FDP;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;52620;
Zusatzstimmen / Suffrages complémentaires;5349;
Parteistimmen / Total des suffrages de parti;57969;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Müller;Philippe;1963;Mitglied Geschäftsleitung CSL Behring AG;Bern;4'414;x
2;Haas;Adrian;1960;Dr.iur. Fürsprecher, Direktor;Bern;3'575;x
Stimmen haben erhalten/Ont obtenu des suffrages
3;Zimmerli;Christoph;1970;Dr.iur. LL.M Rechtsanwalt, Alt-Stadtratspräsident;Bern;2'990;
4;Esseiva;Vivianne;1981;Betriebsökonomin FH, Stadträtin;Bern;2'753;
5;Eicher;Bernhard;1983;Berater, Stadtrat;Bern;2'724;
6;Berger;Tom;1986;Betriebsökonom FH, Stadtrat;Bern;2'599;
7;Dana;Dolores;1968;Rechtsanwältin MBA, Alt-Stadträtin;Bern;2'563;
8;Freiburghaus;Barbara;1962;Notarin (selbständig), Stadträtin;Bern;2'519;
9;Hofstetter;Thomas;1961;Unternehmer, Betriebsökonom;Bern;2'496;
