"Wahlkreis","Gemeinde_Nr","Storyboard","Text_de"
"Biel-Bienne - Seeland",742,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",743,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",744,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",745,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",746,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",747,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",748,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",749,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",750,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",751,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",754,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",755,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Biel-Bienne - Seeland",756,,"Der Wahlkreis Biel-Bienne - Seeland ist noch nicht ausgezählt"
"Emmental",401,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",402,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",404,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",405,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",406,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",407,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",409,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",410,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",411,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",412,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",413,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",414,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",415,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",416,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",418,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",420,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",421,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",422,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",423,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",424,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",533,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",552,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",554,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",556,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",901,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",902,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",903,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",904,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",905,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",906,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",907,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",908,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",909,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",951,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",952,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",955,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",956,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",957,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Emmental",958,,"Der Wahlkreis Emmental ist noch nicht ausgezählt"
"Jura bernois",431,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",432,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",433,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",434,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",435,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",437,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",438,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",441,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",442,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",443,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",444,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",445,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",446,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",448,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",449,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",450,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",681,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",683,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",687,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",690,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",691,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",692,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
"Jura bernois",694,,"Der Wahlkreis Jura bernois ist noch nicht ausgezählt"
