"Wahlkreis","Gemeinde_Nr","Storyboard","Text_de"
"Oberland",785,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",786,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",791,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",792,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",793,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",794,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",841,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",842,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",843,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Thun",767,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",770,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",863,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",867,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",883,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",885,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",886,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",921,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",922,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",923,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",924,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",925,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",927,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",928,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",929,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",931,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",932,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",934,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",935,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",936,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",937,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",938,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",939,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",940,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",941,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",942,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",943,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",944,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",945,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",946,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",947,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
"Thun",948,,"Der Wahlkreis Thun ist noch nicht ausgezählt"
